product_id,name,price,sale
5529761450,กล่อง Pizza ฝาเสียบ Size 8 (20 ใบ),160,94
19958460896,กล่องเทศกาลปีใหม่  ฝาชน Size 20 (20 ใบ),130,272
18116817566,มินิโปสการ์ด Good Day (1แผ่น),29,65
15456466976,กล่อง Believe ฝาชน Size 00 (20 ใบ),84,219
23033636804,กล่องไทยโทน ละมุนละไม หูช้าง Size 0 (20 ใบ),260,4
15770807537,กล่องผลไม้ หูช้าง Size 1 (20 ใบ),500,12
3003504648,กล่องผลไม้ หูหิ้ว Size S (20 ใบ),400,78
22238128061,กล่องไทยโทนละมุนละไม หูช้าง (1 ใบ),60,2
2576740376,กล่องพี่ใหญ่ หูช้าง Size A (20 ใบ),260,1500.0
22333642183,กล่องไทยโทน ละมุนละไม หูช้าง Size 00 (20 ใบ),200,10
11348633551,กล่องมีกัน ฝาชน Size 2A (20 ใบ),160,89
4729763663,กล่อง Pizza ฝาเสียบ Size 10 (20 ใบ),180,98
21858461323,กล่องเทศกาลปีใหม่ ฝาชน Size 2A (20 ใบ),186,334
1239938529,เชือกขาว 2 mm. x 850 m.,160,76
12509478274,กล่องมีกัน ฝาชน Size 20 (20 ใบ),130,69
11966629641,กล่องเทศกาลปีใหม่ ฝาชน Size 0 (20 ใบ),106,1500.0
9156027636,กล่องเพื่อนเกลอ หูช้าง Size C (20 ใบ),600,33
19316817294,สติกเกอร์ Good Day (1 แผ่น),69,22
18658467562,Gift Me Sticker & Postcard (1แผ่น),49,17
9102056085,กระเป๋าจากใจ By NPPBOX (ขนาด 51 x 54 x 18 cm.),359,383
23533648275,กล่องไทยโทน ละมุนละไม หูช้าง Size S (20 ใบ),500,1
13297827695,กล่องเพื่อนเกลอ (1 ใบ),139,5
4329764808,กล่อง Pizza ฝาเสียบ Size 12 (20 ใบ),250,38
7229763569,กล่อง Pizza ฝาเสียบ Size 13 (20 ใบ),280,15
19562331217,กล่องเทศกาลปีใหม่ (1ใบ),39,53
4429770873,กล่อง Seafood ฝาเสียบ Size M (20 ใบ),280,142
11566631593,กล่องเทศกาลปีใหม่ ฝาชน Size 00 (20 ใบ),84,2000
16940373867,ไส้ล็อกผลไม้ 2 ลูก (20 ชิ้น),100,4
3229933286,กล่อง Seafood ฝาเสียบ Size S (20 ใบ),200,177
14821494778,เสื้อยืด สกรีน Proud To Be,329,9
3049975608,กล่องเพื่อนเกลอ หูช้าง Size B (20 ใบ),500,19
3516209210,ป้าย Tag Lover (27 ชิ้น),159,59
3125644187,ป้าย Tag ตรุษจีน (16 ชิ้น),159,32
18058465688,กล่องเทศกาลปีใหม่ จัตุรัส Size 15 (1 ใบ),139,54
19958463989,กล่องเทศกาลปีใหม่ หูช้าง Size B (20 ใบ),700,113
9015182075,กล่องผลไม้ หูหิ้ว Size M (20 ใบ),600,21
12840998823,กล่องเทศกาลปีใหม่ หูช้าง Size S (20 ใบ),700,17
17784562755,กล่องพี่ใหญ่ หูช้าง (1 ใบ),75,13
20968476168,สมุด Believer's Planner,529,5
8456036920,กล่องเพื่อนเกลอ หูช้าง Size A (20 ใบ),400,48
11066630063,กล่องเทศกาลปีใหม่ หูช้าง Size SS (20 ใบ),600,61
10366623995,กล่องเทศกาลปีใหม่ หูช้าง Size A (20 ใบ),500,116
18055164967,กล่องรองเท้า ลิ้้นชัก ลายไม้ (5 ใบ),295,4
4344151160,กล่องจากใจ ฝาชน Size D (20 ใบ),218,2100.0
15282887901,แผ่นลูกฟูก DIY 20 ใบ,395,36
12941004299,กล่องเทศกาลปีใหม่ ทรงสูง 2 ใบ,118,58
12341004700,กล่องเทศกาลปีใหม่ จัตุรัส 2 ใบ,118,36
4416112230,กล่องน้องรัก Lover (Size B) 20 ใบ,155,137
1287829821,กล่องรักษ์โลก ฝาชน Size 3 (20 ใบ),230,499
14656475664,กล่อง BELIEVE (Size B) 20ใบ,186,228
10748635110,กล่องมีกัน ฝาชน Size 0 (20 ใบ),85,211
10548646690,กล่องมีกัน ฝาชน Size AA (20 ใบ),95,112
6016112326,กล่องน้องรัก Lover (Size C) 20 ใบ,190,111
5916111553,กล่องน้องรัก Lover (Size 00) 20 ใบ,70,222
15646535088,กล่อง Lovely red ฝาชน Size A (20 ใบ),100,473
4616112034,กล่องน้องรัก Lover (Size A) 20 ใบ,100,213
5216111831,กล่องน้องรัก Lover (Size 0) 20 ใบ,80,256
10804652982,เม็ดโฟมขนาด 0.5 mm (100 กรัม),159,22
23519751706,กล่องน้องรัก Lover (Size 2A) 20 ใบ,155,0
20971706480,กล่องน้องรัก Lover (Size 20) 20 ใบ,120,0
